Date,Open,High,Low,Close,Adj Close,Volume
2014-06-01,669.429993,669.780029,602.099976,651.049988,651.049988,12872108
2014-06-08,651.049988,663.039978,560.849976,582.289978,582.289978,19756894
2014-06-15,582.289978,614.400024,580.450012,603.619995,603.619995,13622438
2014-06-22,603.619995,608.760010,565.849976,601.059998,601.059998,13164158
2014-06-29,601.059998,652.539978,596.549988,626.650024,626.650024,16775774
2014-07-06,626.650024,638.640015,607.320007,628.030029,628.030029,13000811
2014-07-13,628.030029,634.140015,610.010010,620.979980,620.979980,13676060
2014-07-20,620.979980,628.809998,593.250000,595.030029,595.030029,15740353
2014-07-27,595.030029,603.989990,564.010010,588.940002,588.940002,17197963
2014-08-03,588.940002,608.200012,585.440002,592.059998,592.059998,11261502
2014-08-10,592.059998,593.619995,478.220001,485.500000,485.500000,17623841
2014-08-17,485.500000,537.169983,449.950012,509.709991,509.709991,17396999
2014-08-24,509.709991,527.369995,478.309998,481.779999,481.779999,13726994
2014-08-31,481.779999,498.470001,470.540009,485.750000,485.750000,20568493
2014-09-07,485.750000,491.040009,467.519989,477.739990,477.739990,21739814
2014-09-14,477.739990,479.279999,386.100006,401.619995,401.619995,29574296
2014-09-21,401.619995,445.510010,374.119995,379.079987,379.079987,42754260
2014-09-28,379.079987,395.179993,294.920013,322.859985,322.859985,50651017
2014-10-05,322.859985,384.609985,303.049988,373.170013,373.170013,63673380
2014-10-12,373.170013,407.739990,366.040009,387.279999,387.279999,49422884
2014-10-19,387.279999,388.239990,341.529999,348.670013,348.670013,35077379
2014-10-27,348.670013,356.350006,319.809998,322.549988,322.549988,30164831
2014-11-03,322.549988,362.209991,320.109985,362.040009,362.040009,32638532
2014-11-10,362.040009,480.450012,356.600006,385.609985,385.609985,80180044
2014-11-17,385.609985,412.329987,343.799988,365.850006,365.850006,54452647
2014-11-24,365.850006,395.730011,358.369995,374.929993,374.929993,93081329
2014-12-01,374.929993,384.869995,366.239990,376.470001,376.470001,54385281
2014-12-08,376.470001,377.359985,337.799988,349.350006,349.350006,72290340
2014-12-15,349.350006,351.220001,303.399994,322.630005,322.630005,89149572
2014-12-22,322.630005,339.320007,310.500000,316.529999,316.529999,52732901
2014-12-29,316.529999,321.609985,255.869995,264.720001,264.720001,67305446
2015-01-05,264.720001,296.059998,262.890015,264.769989,264.769989,49949809
2015-01-12,264.769989,273.079987,157.289993,210.619995,210.619995,118552846
